x,y
0.690000,-1.450000
0.659837,-1.941185
0.617593,-2.439377
0.592333,-2.938710
0.585996,-3.438645
0.585495,-3.938640
0.565564,-4.438151
0.497340,-4.933121
0.408649,-5.424839
0.347356,-5.920288
0.102563,-6.350194
-0.242963,-6.711560
-0.624344,-7.032283
-1.100624,-7.171725
-1.598300,-7.147872
-2.063057,-6.970495
-2.440820,-6.646440
-2.701005,-6.221605
-2.830526,-5.740386
-2.819720,-5.242203
-2.672380,-4.766065
-2.402948,-4.346283
-2.086863,-3.958905
-1.820483,-3.536627
-1.615774,-3.080653
-1.436002,-2.614116
-1.289895,-2.136200
-1.209676,-1.643217
-1.224154,-1.144448
-1.339171,-0.658503
-1.520727,-0.192877
-1.731836,0.260356
-1.937277,0.716177
-2.135124,1.175368
-2.332664,1.634688
-2.515623,2.099951
-2.664809,2.576995
-2.762828,3.067007
-2.812683,3.564395
-2.829970,4.063958
-2.753868,4.556077
-2.511098,4.990476
-2.155144,5.339803
-1.723455,5.588710
-1.236227,5.690385
-0.740688,5.640192
-0.291040,5.426907
0.086424,5.100655
0.380740,4.697917
0.568328,4.235697
0.660098,3.744750
0.691890,3.245904
0.699136,2.745967
0.698180,2.245971
0.693016,1.745998
0.687120,1.246033
0.683917,0.746045
0.686990,0.246060
0.690000,-0.250000
